x,y,z,geometric_likelihood
0.455538,-0.033518,0.203375,0.358406
0.073251,0.451083,0.202875,0.193378
0.250750,-0.382188,0.202625,0.239538
0.402841,0.216482,0.202125,0.578652
0.417206,-0.188115,0.201375,0.397338
0.223977,0.399354,0.200875,0.289655
0.104631,-0.445872,0.200625,0.180685
0.453529,0.065281,0.200125,0.469575
0.327985,-0.320430,0.199375,0.335225
0.348042,0.298857,0.198875,0.462706
0.449253,-0.094437,0.198125,0.368161
0.133414,0.439483,0.197625,0.217950
0.198537,-0.414278,0.197375,0.212569
0.430249,0.161634,0.196875,0.579880
0.390326,-0.243271,0.196125,0.412450
0.276592,0.367733,0.195625,0.347022
0.044460,-0.458096,0.195375,0.000000
0.460441,0.004242,0.194875,0.393905
0.036045,0.459259,0.194375,0.192812
0.283712,-0.363075,0.194125,0.278694
0.386665,0.250998,0.193625,0.578488
0.434750,-0.154246,0.192875,0.401669
0.191750,0.419790,0.192375,0.268991
0.142206,-0.439165,0.192125,0.195130
0.450118,0.103313,0.191625,0.533146
0.356098,-0.294552,0.190875,0.386027
0.324701,0.329130,0.190375,0.422427
0.459064,-0.057466,0.189625,0.354833
0.097423,0.452483,0.189125,0.213581
0.233863,-0.399543,0.188875,0.240322
0.418643,0.198124,0.188375,0.628796
0.412221,-0.211828,0.187625,0.425951
0.247163,0.392294,0.187125,0.332568
0.082758,-0.456321,0.186875,0.183439
0.462009,0.042566,0.186375,0.450090
0.315088,-0.340973,0.185625,0.327097
0.367372,0.284194,0.185125,0.541967
0.449349,-0.118708,0.184375,0.401948
0.157605,0.437436,0.183875,0.249379
0.179309,-0.429104,0.183625,0.214312
0.443325,0.141167,0.183125,0.602298
0.382008,-0.266100,0.182375,0.426864
0.298604,0.357432,0.181875,0.396954
0.021265,-0.465360,0.181625,0.000000
0.465632,-0.019509,0.181125,0.372855
0.060168,0.462336,0.180625,0.211870
0.267993,-0.381634,0.180375,0.276595
0.403769,0.233699,0.179875,0.652299
0.431399,-0.178350,0.179125,0.431370
0.215471,0.414325,0.178625,0.312303
0.121016,-0.451151,0.178375,0.197654
0.460192,0.081143,0.177875,0.524247
0.344604,-0.316030,0.177125,0.380811
0.345087,0.315783,0.176625,0.493471
0.460848,-0.081776,0.175875,0.393197
0.121802,0.452115,0.175375,0.239613
0.215630,-0.415734,0.175125,0.240970
0.433167,0.178529,0.174625,0.671078
0.405478,-0.235277,0.173875,0.451406
