x,y,z,dose_rate_uSv_h
0.5000,0.237500,0.102500,0.026614
0.5000,0.242500,0.102500,0.012615
0.5000,0.277500,0.102500,0.012437
0.5000,0.282500,0.102500,0.012139
0.5000,0.177500,0.107500,0.012445
0.5000,0.182500,0.107500,0.016603
0.5000,0.187500,0.107500,0.016022
0.5000,0.222500,0.107500,0.016557
0.5000,0.227500,0.107500,0.032899
0.5000,0.232500,0.107500,0.037542
0.5000,0.237500,0.107500,0.030986
0.5000,0.242500,0.107500,0.014688
0.5000,0.177500,0.112500,0.014265
0.5000,0.182500,0.112500,0.019031
0.5000,0.187500,0.112500,0.018365
0.5000,0.222500,0.112500,0.013943
0.5000,0.227500,0.112500,0.027706
0.5000,0.232500,0.112500,0.031615
0.5000,0.237500,0.112500,0.026095
0.5000,0.242500,0.112500,0.012369
0.5000,0.177500,0.117500,0.011827
0.5000,0.182500,0.117500,0.015779
0.5000,0.187500,0.117500,0.015226
0.5000,0.227500,0.117500,0.014027
0.5000,0.232500,0.117500,0.015290
0.5000,0.237500,0.117500,0.012620
0.5000,0.257500,0.117500,0.017985
0.5000,0.262500,0.117500,0.018687
0.5000,0.267500,0.117500,0.014043
0.5000,0.212500,0.122500,0.012211
0.5000,0.257500,0.122500,0.019981
0.5000,0.262500,0.122500,0.020761
0.5000,0.267500,0.122500,0.015602
0.5000,0.207500,0.127500,0.018848
0.5000,0.212500,0.127500,0.022895
0.5000,0.217500,0.127500,0.020116
0.5000,0.257500,0.127500,0.016056
0.5000,0.262500,0.127500,0.016683
0.5000,0.267500,0.127500,0.012537
0.5000,0.207500,0.132500,0.020296
0.5000,0.212500,0.132500,0.024654
0.5000,0.217500,0.132500,0.021661
0.5000,0.207500,0.137500,0.016171
0.5000,0.212500,0.137500,0.019201
0.5000,0.217500,0.137500,0.016870
0.5000,0.237500,0.142500,0.013991
0.5000,0.242500,0.142500,0.015474
0.5000,0.247500,0.142500,0.012379
0.5000,0.237500,0.147500,0.014375
0.5000,0.242500,0.147500,0.015899
0.5000,0.247500,0.147500,0.012719
0.5000,0.242500,0.152500,0.011816
